name;monthly_salary;birthdate;gender;manager
Jamie Do;1800;04/04/1980;NB;Betty
Alice Duran;1700;03/12/1969;F;Betty
Bob Gill;1800;23/02/1970;M;Betty
Betty Dolan;2500;25/06/1963;F;
Nicole Vincent;1500;25/06/1963;F;Jamie
Maisha Hughes;1500;07/03/1975;F;Jamie
Omer Robin;1500;25/02/1977;M;Jamie
Dawid Wu;1500;21/09/1968;M;Jamie
Lula Mendez;1500;05/10/1955;F;Alice
Charles Tucker;1500;21/12/1989;M;Alice
Alex Yaar;1500;19/11/1969;NB;Alice
Lewis Craft;1500;08/10/1973;M;Alice
Vihaan Donaldson;1500;15/05/1985;M;Alice
Isaac Byrne;1500;22/03/1962;M;Bob
Nyota Uhura;1500;19/01/1978;F;Bob
Jadzia Dax;1500;27/04/1985;F;Bob
Erika Bouvet;1500;05/08/1969;F;Bob
